AW AI
GR GD
GW GE
IR IF
HR HJ
BWW BGE
ARW AHC
GRR GDF
BWR BGD
JWWW JECA
DRRR DFHJ
CWWR CAIF
HWWW HCAI
GWRWR GEBGD
FRRRW FHJBG
JRRWW JBDIG
JWWRRW JECJBG
GRRRWW GDFHCA
BRWRWR BDIFAH
IRWRRWR IFAHJEB
IWWWRRW IGECJBG
GWWRWWR GECJECJ
HRRWRWRW HJBGDIFA
FRWWWRRW FHCAIFHC
HRWWWRWRW HJECAHCJE
CWWWRRWWW CAIGDFAIG
BRRRWRRRRW BDFHCJBDFA
FRWRRWRRWW FHCJBGDFAI
GWRRRRWRWRW GEBDFHCJEBG
DRWWWWWWRRW DFAIGECAHJE
ARRRRWRRRRWW AHJBDIFHJBGE
AWWWWWWRRWRR AIGECAIFHCJB
JWWWRRWRWRWWR JECAHJEBGDIGD
CRWRWRRWWWRWW CJEBGDFAIGDIG
DWRWRWRWRWWRWW DIFAHCJEBGEBGE
GRWWWRRRRWRWRR GDIGEBDFHCJEBD
ARWWWRWWRWWWWWW AHCAIFAIFAIGECA
DWRWRRWRWWRWWRW DIFAHJEBGEBGEBG
JRWRRRRRWRRRRRWR JBGDFHJBGDFHJBGD
IRWWRRWWWWWRRWWR IFAIFHCAIGEBDIGD
